,X1,X2,X3,word,frequency
1_2_cup,1,2,cup,1_2_cup,75
1_30_p.m,1,30,p.m,1_30_p.m,5
5_30_p.m,5,30,p.m,5_30_p.m,9
6_30_a.m,6,30,a.m,6_30_a.m,6
7_30_p.m,7,30,p.m,7_30_p.m,6
9_30_a.m,9,30,a.m,9_30_a.m,5
9_a.m_to,9,a.m,to,9_a.m_to,7
10_percent_of,10,percent,of,10_percent_of,5
11_30_a.m,11,30,a.m,11_30_a.m,14
a_beautiful_day,a,beautiful,day,a_beautiful_day,93
a_big_fan,a,big,fan,a_big_fan,56
a_bit_of,a,bit,of,a_bit_of,404
a_bit_more,a,bit,more,a_bit_more,104
a_bit_of1,a,bit,of,a_bit_of,57
a_bit_of2,a,bit,of,a_bit_of,9
a_bunch_of,a,bunch,of,a_bunch_of,191
a_bunch_of1,a,bunch,of,a_bunch_of,152
a_bunch_of2,a,bunch,of,a_bunch_of,5
a_chance_to,a,chance,to,a_chance_to,135
a_chance_to1,a,chance,to,a_chance_to,131
a_chance_to2,a,chance,to,a_chance_to,11
a_combination_of,a,combination,of,a_combination_of,5
a_copy_of,a,copy,of,a_copy_of,70
a_couple_of,a,couple,of,a_couple_of,612
a_couple_of1,a,couple,of,a_couple_of,119
a_couple_of2,a,couple,of,a_couple_of,24
a_day_earlier,a,day,earlier,a_day_earlier,5
a_fan_of,a,fan,of,a_fan_of,89
a_few_days,a,few,days,a_few_days,201
a_few_years,a,few,years,a_few_years,157
a_few_weeks,a,few,weeks,a_few_weeks,141
a_few_of,a,few,of,a_few_of,125
a_few_minutes,a,few,minutes,a_few_minutes,106
a_few_days1,a,few,days,a_few_days,87
a_few_more,a,few,more,a_few_more,85
a_few_months,a,few,months,a_few_months,85
a_few_times,a,few,times,a_few_times,82
a_few_hours,a,few,hours,a_few_hours,77
a_few_things,a,few,things,a_few_things,73
a_few_more1,a,few,more,a_few_more,65
a_few_hours1,a,few,hours,a_few_hours,58
a_few_years1,a,few,years,a_few_years,11
a_few_months1,a,few,months,a_few_months,10
a_few_minutes1,a,few,minutes,a_few_minutes,5
a_good_day,a,good,day,a_good_day,217
a_good_time,a,good,time,a_good_time,97
a_good_one,a,good,one,a_good_one,96
a_good_thing,a,good,thing,a_good_thing,91
a_good_thing1,a,good,thing,a_good_thing,82
a_good_idea1,a,good,idea,a_good_idea,71
a_good_idea,a,good,idea,a_good_idea,69
a_good_job,a,good,job,a_good_job,7
a_good_idea2,a,good,idea,a_good_idea,6
a_great_day,a,great,day,a_great_day,329
a_great_time,a,great,time,a_great_time,229
a_great_weekend,a,great,weekend,a_great_weekend,203
a_great_week,a,great,week,a_great_week,72
a_great_deal,a,great,deal,a_great_deal,71
a_great_night,a,great,night,a_great_night,68
a_great_deal1,a,great,deal,a_great_deal,6
a_group_of,a,group,of,a_group_of,138
a_group_of1,a,group,of,a_group_of,11
a_handful_of,a,handful,of,a_handful_of,7
a_kind_of,a,kind,of,a_kind_of,71
a_list_of,a,list,of,a_list_of,106
a_list_of1,a,list,of,a_list_of,11
a_little_bit,a,little,bit,a_little_bit,240
a_little_more,a,little,more,a_little_more,159
a_little_bit1,a,little,bit,a_little_bit,92
a_little_bit2,a,little,bit,a_little_bit,23
a_little_more1,a,little,more,a_little_more,8
a_long_time,a,long,time,a_long_time,195
a_long_time1,a,long,time,a_long_time,136
a_long_time2,a,long,time,a_long_time,8
a_look_at,a,look,at,a_look_at,98
a_lot_of,a,lot,of,a_lot_of,1185
a_lot_of1,a,lot,of,a_lot_of,623
a_lot_more,a,lot,more,a_lot_more,112
a_lot_of2,a,lot,of,a_lot_of,93
a_lot_to,a,lot,to,a_lot_to,79
a_lot_more1,a,lot,more,a_lot_more,12
a_lot_to1,a,lot,to,a_lot_to,5
a_major_league,a,major,league,a_major_league,5
a_man_who,a,man,who,a_man_who,7
a_matter_of,a,matter,of,a_matter_of,110
a_member_of,a,member,of,a_member_of,93
a_member_of1,a,member,of,a_member_of,7
a_mix_of,a,mix,of,a_mix_of,5
a_news_conference,a,news,conference,a_news_conference,7
a_news_release,a,news,release,a_news_release,5
a_nonprofit_group,a,nonprofit,group,a_nonprofit_group,5
a_number_of,a,number,of,a_number_of,206
a_number_of1,a,number,of,a_number_of,13
a_pair_of,a,pair,of,a_pair_of,97
a_pair_of1,a,pair,of,a_pair_of,8
a_part_of,a,part,of,a_part_of,167
a_part_of1,a,part,of,a_part_of,123
a_part_of2,a,part,of,a_part_of,9
a_picture_of,a,picture,of,a_picture_of,102
a_picture_of1,a,picture,of,a_picture_of,57
a_piece_of,a,piece,of,a_piece_of,160
a_piece_of1,a,piece,of,a_piece_of,5
a_result_of,a,result,of,a_result_of,82
a_sense_of,a,sense,of,a_sense_of,108
a_sense_of1,a,sense,of,a_sense_of,6
a_series_of,a,series,of,a_series_of,128
a_series_of1,a,series,of,a_series_of,16
a_shot_at,a,shot,at,a_shot_at,5
a_shout_out,a,shout,out,a_shout_out,59
a_spokesman_for,a,spokesman,for,a_spokesman_for,8
a_team_that,a,team,that,a_team_that,7
a_time_when,a,time,when,a_time_when,7
a_time_of,a,time,of,a_time_of,5
a_ton_of,a,ton,of,a_ton_of,69
a_ton_of1,a,ton,of,a_ton_of,64
a_total_of,a,total,of,a_total_of,8
a_variety_of,a,variety,of,a_variety_of,117
a_variety_of1,a,variety,of,a_variety_of,8
a_way_to,a,way,to,a_way_to,135
a_way_to1,a,way,to,a_way_to,105
a_way_that,a,way,that,a_way_that,81
a_way_to2,a,way,to,a_way_to,12
a_whole_lot,a,whole,lot,a_whole_lot,70
a_year_ago,a,year,ago,a_year_ago,7
â_and_the,â,and,the,â_and_the,5
â_he_said,â,he,said,â_he_said,12
â_œi_donâ,â,œi,donâ,â_œi_donâ,7
â_œi_think,â,œi,think,â_œi_think,6
â_œit_was,â,œit,was,â_œit_was,5
â_œitâ_s,â,œitâ,s,â_œitâ_s,11
â_œthis_is,â,œthis,is,â_œthis_is,8
â_she_said,â,she,said,â_she_said,7
able_to_do,able,to,do,able_to_do,74
able_to_get,able,to,get,able_to_get,73
able_to_get1,able,to,get,able_to_get,5
about_to_go,about,to,go,about_to_go,69
about_to_get,about,to,get,about_to_get,68
according_to_the,according,to,the,according_to_the,175
according_to_the1,according,to,the,according_to_the,33
according_to_a,according,to,a,according_to_a,24
according_to_an,according,to,an,according_to_an,6
across_the_country,across,the,country,across_the_country,12
across_the_state,across,the,state,across_the_state,6
addition_to_the,addition,to,the,addition_to_the,6
after_a_few,after,a,few,after_a_few,70
ahead_of_the,ahead,of,the,ahead_of_the,6
all_i_want,all,i,want,all_i_want,76
all_i_can,all,i,can,all_i_can,60
all_is_well,all,is,well,all_is_well,96
all_of_the,all,of,the,all_of_the,398
all_of_the1,all,of,the,all_of_the,156
all_of_my,all,of,my,all_of_my,106
all_of_you1,all,of,you,all_of_you,105
all_of_us,all,of,us,all_of_us,104
all_of_this,all,of,this,all_of_this,104
all_of_these,all,of,these,all_of_these,91
all_of_you,all,of,you,all_of_you,80
all_of_them,all,of,them,all_of_them,79
all_of_my1,all,of,my,all_of_my,77
all_of_our,all,of,our,all_of_our,77
all_of_us1,all,of,us,all_of_us,71
all_of_your,all,of,your,all_of_your,57
all_of_the2,all,of,the,all_of_the,25
all_of_us2,all,of,us,all_of_us,5
all_of_that,all,of,that,all_of_that,5
all_over_the,all,over,the,all_over_the,165
all_over_the1,all,over,the,all_over_the,64
all_over_the2,all,over,the,all_over_the,11
all_sorts_of,all,sorts,of,all_sorts_of,74
all_the_time1,all,the,time,all_the_time,219
all_the_time,all,the,time,all_the_time,177
all_the_way,all,the,way,all_the_way,123
all_the_way1,all,the,way,all_the_way,123
all_the_other,all,the,other,all_the_other,74
all_the_way2,all,the,way,all_the_way,7
along_the_way,along,the,way,along_the_way,112
along_with_the,along,with,the,along_with_the,106
along_with_the1,along,with,the,along_with_the,5
am_going_to,am,going,to,am_going_to,148
am_going_to1,am,going,to,am_going_to,116
an_average_of,an,average,of,an_average_of,6
an_increase_in,an,increase,in,an_increase_in,9
an_opportunity_to,an,opportunity,to,an_opportunity_to,6
and_a_half,and,a,half,and_a_half,128
and_a_few,and,a,few,and_a_few,89
and_a_half1,and,a,half,and_a_half,65
and_a_half2,and,a,half,and_a_half,7
and_a_lot,and,a,lot,and_a_lot,6
and_after_the,and,after,the,and_after_the,5
and_all_the,and,all,the,and_all_the,114
and_all_of,and,all,of,and_all_of,69
and_all_the1,and,all,the,and_all_the,7
and_as_a,and,as,a,and_as_a,6
and_at_the,and,at,the,and_at_the,6
and_credit_cards,and,credit,cards,and_credit_cards,5
and_for_the,and,for,the,and_for_the,70
and_had_a,and,had,a,and_had_a,72
and_have_a,and,have,a,and_have_a,77
and_have_a1,and,have,a,and_have_a,68
and_he_was,and,he,was,and_he_was,82
and_he_was1,and,he,was,and_he_was,7
and_her_husband,and,her,husband,and_her_husband,5
and_his_family,and,his,family,and_his_family,6
and_his_wife,and,his,wife,and_his_wife,6
and_i_have,and,i,have,and_i_have,314
and_i_was,and,i,was,and_i_was,255
and_i_am,and,i,am,and_i_am,240
and_i_think,and,i,think,and_i_think,172
and_i_don't,and,i,don't,and_i_don't,148
and_i_had,and,i,had,and_i_had,148
and_i_will,and,i,will,and_i_will,132
and_i_love1,and,i,love,and_i_love,115
and_i_have1,and,i,have,and_i_have,112
