,X1,X2,X3,X4,frequency
� sts p row,�,sts,p,row,6
�m pretty sure �s,�m,pretty,sure,�s,4
�m really looking forward,�m,really,looking,forward,10
�ve spent lot time,�ve,spent,lot,time,4
� � subject change,�,�,subject,change,20
� gannett lecture series,�,gannett,lecture,series,4
� subject change removal,�,subject,change,removal,20
add eggs one time,add,eggs,one,time,9
advertising fees advertising linking,advertising,fees,advertising,linking,20
advertising linking amazoncom amazonca,advertising,linking,amazoncom,amazonca,20
allpowerful god like �,allpowerful,god,like,�,4
amazon eu associates programmes,amazon,eu,associates,programmes,20
amazon eu content provided,amazon,eu,content,provided,20
amazon services llc amazon,amazon,services,llc,amazon,20
amazon services llc andor,amazon,services,llc,andor,20
amazonca amazoncouk amazonde amazonfr,amazonca,amazoncouk,amazonde,amazonfr,20
amazoncom amazonca amazoncouk amazonde,amazoncom,amazonca,amazoncouk,amazonde,20
amazoncouk amazonde amazonfr amazonit,amazoncouk,amazonde,amazonfr,amazonit,20
amazonde amazonfr amazonit amazones,amazonde,amazonfr,amazonit,amazones,20
amazones certain content appears,amazones,certain,content,appears,20
amazonfr amazonit amazones certain,amazonfr,amazonit,amazones,certain,20
amazonit amazones certain content,amazonit,amazones,certain,content,20
andor amazon eu content,andor,amazon,eu,content,20
appears website comes amazon,appears,website,comes,amazon,20
archives libraries museums historical,archives,libraries,museums,historical,4
ask huge allpowerful god,ask,huge,allpowerful,god,4
associates programmes designed provide,associates,programmes,designed,provide,20
available merchant�s website see,available,merchant�s,website,see,4
ay ay ay ay,ay,ay,ay,ay,4
bake degrees f minutes,bake,degrees,f,minutes,4
baking powder baking soda,baking,powder,baking,soda,6
baking soda baking powder,baking,soda,baking,powder,5
beginning word word god,beginning,word,word,god,4
better late never right,better,late,never,right,4
betty macdonald fan club,betty,macdonald,fan,club,4
billion trailing twelve months,billion,trailing,twelve,months,8
c item b pp,c,item,b,pp,8
can also deliver nuclear,can,also,deliver,nuclear,4
can count one hand,can,count,one,hand,5
cant remember last time,cant,remember,last,time,4
capitalism supreme flavor spirit,capitalism,supreme,flavor,spirit,6
caprera hotel venice italy,caprera,hotel,venice,italy,5
carl schumann porcelain factory,carl,schumann,porcelain,factory,4
certain content appears website,certain,content,appears,website,20
chicago chicago illinois incorporated,chicago,chicago,illinois,incorporated,10
chicago illinois incorporated item,chicago,illinois,incorporated,item,19
christmas happy new year,christmas,happy,new,year,5
christmas season happy new,christmas,season,happy,new,5
city kansas news station,city,kansas,news,station,8
comes amazon services llc,comes,amazon,services,llc,20
compared billion trailing twelve,compared,billion,trailing,twelve,4
computer science graduate program,computer,science,graduate,program,5
constitution � gannett lecture,constitution,�,gannett,lecture,4
content appears website comes,content,appears,website,comes,20
content provided � �,content,provided,�,�,20
conway south carolina florists,conway,south,carolina,florists,13
cost damage attacks enemies,cost,damage,attacks,enemies,7
council member letitia james,council,member,letitia,james,6
court justice european union,court,justice,european,union,4
cover plastic wrap refrigerate,cover,plastic,wrap,refrigerate,5
cyclists want accountability drivers,cyclists,want,accountability,drivers,4
damage attacks enemies times,damage,attacks,enemies,times,6
day see im really,day,see,im,really,4
day took opportunity go,day,took,opportunity,go,4
dear heavenly father thank,dear,heavenly,father,thank,4
dec sc sc dec,dec,sc,sc,dec,4
dec st side next,dec,st,side,next,4
designed provide means sites,designed,provide,means,sites,20
don�t get wrong love,don�t,get,wrong,love,5
dont even get started,dont,even,get,started,6
dont forget enter giveaway,dont,forget,enter,giveaway,4
dont think ive ever,dont,think,ive,ever,4
e e e e,e,e,e,e,9
earn advertising fees advertising,earn,advertising,fees,advertising,20
ebook can view windows,ebook,can,view,windows,4
egalitarian highest form democracy,egalitarian,highest,form,democracy,5
eggs one time beating,eggs,one,time,beating,7
enter many times like,enter,many,times,like,4
eu associates programmes designed,eu,associates,programmes,designed,20
eu content provided �,eu,content,provided,�,20
fannie mae freddie mac,fannie,mae,freddie,mac,4
father lord jesus christ,father,lord,jesus,christ,6
feel free add comments,feel,free,add,comments,4
fees advertising linking amazoncom,fees,advertising,linking,amazoncom,20
fell th iris bleu,fell,th,iris,bleu,4
