,X1,X2,frequency
– ’m,–,’m,27
– ’s,–,’s,106
– can,–,can,40
– don’t,–,don’t,34
– even,–,even,32
– just,–,just,46
– like,–,like,27
– one,–,one,45
’d like,’d,like,118
’d love,’d,love,29
’d never,’d,never,34
’d rather,’d,rather,28
’ll find,’ll,find,38
’ll get,’ll,get,43
’ll just,’ll,just,33
’ll never,’ll,never,41
’ll see,’ll,see,42
’m also,’m,also,25
’m getting,’m,getting,29
’m glad,’m,glad,41
’m going,’m,going,189
’m happy,’m,happy,31
’m just,’m,just,69
’m looking,’m,looking,35
’m pretty,’m,pretty,43
’m really,’m,really,60
’m sorry,’m,sorry,30
’m still,’m,still,73
’m sure,’m,sure,219
’m talking,’m,talking,39
’m thinking,’m,thinking,33
’m trying,’m,trying,31
’m writing,’m,writing,25
’re going,’re,going,84
’re looking,’re,looking,26
’re talking,’re,talking,32
’s ’s,’s,’s,51
’s actually,’s,actually,26
’s also,’s,also,94
’s always,’s,always,53
’s best,’s,best,40
’s big,’s,big,25
’s easy,’s,easy,58
’s even,’s,even,27
’s going,’s,going,115
’s good,’s,good,85
’s got,’s,got,42
’s great,’s,great,61
’s hard,’s,hard,65
’s important,’s,important,54
’s just,’s,just,199
’s kind,’s,kind,32
’s like,’s,like,115
’s little,’s,little,36
’s long,’s,long,26
’s lot,’s,lot,41
’s much,’s,much,52
’s nice,’s,nice,29
’s nothing,’s,nothing,37
’s one,’s,one,94
’s pretty,’s,pretty,45
’s probably,’s,probably,35
’s quite,’s,quite,29
’s really,’s,really,73
’s right,’s,right,51
’s something,’s,something,48
’s still,’s,still,62
’s time,’s,time,72
’s way,’s,way,34
’s worth,’s,worth,33
’s true,’s,TRUE,44
’ve already,’ve,already,27
’ve always,’ve,always,51
’ve done,’ve,done,39
’ve ever,’ve,ever,71
’ve got,’ve,got,118
’ve heard,’ve,heard,29
’ve just,’ve,just,37
’ve made,’ve,made,30
’ve never,’ve,never,87
’ve read,’ve,read,37
’ve seen,’ve,seen,80
“ ”,“,”,95
“ can,“,can,45
“ can’t,“,can’t,31
“ don’t,“,don’t,72
“ just,“,just,43
“ know,“,know,60
“ like,“,like,26
“ love,“,love,27
“ think,“,think,46
“ want,“,want,37
” said,”,said,64
â€” including,â€”,including,5
â€œ can,â€œ,can,6
â€œ just,â€œ,just,6
â€œ just,â€œ,just,6
â€œ think,â€œ,think,10
â€œ think,â€œ,think,7
â€œ want,â€œ,want,5
able find,able,find,35
able get,able,get,65
able get,able,get,6
able go,able,go,29
able make,able,make,45
able play,able,play,5
able see,able,see,40
able take,able,take,25
able take,able,take,5
absolutely love,absolutely,love,31
absolutely nothing,absolutely,nothing,31
according court,according,court,5
according police,according,police,5
according recent,according,recent,5
according report,according,report,5
across country,across,country,46
across country,across,country,10
across country,across,country,5
across state,across,state,9
across state,across,state,9
across street,across,street,30
across street,across,street,7
act like,act,like,25
acting like,acting,like,25
actually get,actually,get,25
adults students,adults,students,5
aggravated assault,aggravated,assault,11
air force,air,force,7
albert pujols,albert,pujols,5
albert pujols,albert,pujols,5
allen said,allen,said,5
almost always,almost,always,54
almost every,almost,every,56
almost like,almost,like,27
almost years,almost,years,33
along lines,along,lines,29
along way,along,way,103
along way,along,way,5
already know,already,know,47
already know,already,know,6
also called,also,called,5
also found,also,found,33
also get,also,get,25
also got,also,got,37
also great,also,great,32
also know,also,know,38
also known,also,known,38
also like,also,like,48
also love,also,love,43
also made,also,made,46
also make,also,make,29
also said,also,said,30
also said,also,said,21
also said,also,said,20
also see,also,see,25
also use,also,use,26
also used,also,used,45
also want,also,want,35
always get,always,get,31
always good,always,good,29
always loved,always,loved,28
always make,always,make,28
always said,always,said,5
always wanted,always,wanted,44
amazon eu,amazon,eu,40
amazon services,amazon,services,40
american funds,american,funds,9
american idol,american,idol,7
among many,among,many,5
among things,among,things,27
among things,among,things,6
among things,among,things,5
amount time,amount,time,55
analysts say,analysts,say,5
another day,another,day,60
another great,another,great,31
another one,another,one,60
another person,another,person,27
another thing,another,thing,34
another way,another,way,41
answer question,answer,question,48
answer questions,answer,questions,35
answer questions,answer,questions,6
answering questions,answering,questions,5
anyone else,anyone,else,131
anyone else,anyone,else,5
anyone else,anyone,else,5
anyone information,anyone,information,6
anyone information,anyone,information,5
anything can,anything,can,25
anything else,anything,else,114
anything like,anything,like,50
anything like,anything,like,5
anywhere else,anywhere,else,25
ap â€”,ap,â€”,5
apartment building,apartment,building,5
april th,april,th,54
around corner,around,corner,49
around corner,around,corner,5
around country,around,country,5
around edges,around,edges,26
around house,around,house,58
around pm,around,pm,7
around time,around,time,29
around us,around,us,57
around world,around,world,94
around world,around,world,10
around world,around,world,6
ask questions,ask,questions,27
assistant us,assistant,us,6
associated press,associated,press,14
associated press,associated,press,12
association said,association,said,6
athletic director,athletic,director,5
atlantic city,atlantic,city,7
atlantic yards,atlantic,yards,30
attorney general,attorney,general,11
attorney general,attorney,general,10
authorities said,authorities,said,12
authorities said,authorities,said,12
authorities say,authorities,say,5
averaged points,averaged,points,6
baby girl,baby,girl,28
back day,back,day,30
back forth,back,forth,72
back forth,back,forth,6
back home,back,home,86
back house,back,house,28
back school,back,school,38
back seat,back,seat,25
back time,back,time,43
back work,back,work,53
bad guy,bad,guy,5
bad guys,bad,guys,6
bad news,bad,news,31
bad thing,bad,thing,35
bake minutes,bake,minutes,46
baking dish,baking,dish,25
baking powder,baking,powder,30
baking sheet,baking,sheet,48
baking soda,baking,soda,39
bank america,bank,america,5
baptist church,baptist,church,5
barack obama,barack,obama,36
barack obama,barack,obama,14
barack obama,barack,obama,10
barack obamas,barack,obamas,7
base salary,base,salary,6
based upon,based,upon,25
basketball team,basketball,team,7
bay area,bay,area,5
become one,become,one,31
best can,best,can,43
best friend,best,friend,95
best friends,best,friends,43
best known,best,known,5
best part,best,part,49
best thing,best,thing,49
best way,best,way,60
better way,better,way,35
beverly hills,beverly,hills,6
big deal,big,deal,69
big deal,big,deal,5
big east,big,east,5
big enough,big,enough,29
big fan,big,fan,29
big ten,big,ten,7
bin laden,bin,laden,11
bin laden,bin,laden,8
birthday party,birthday,party,41
bit like,bit,like,38
bit time,bit,time,27
black caucus,black,caucus,5
black men,black,men,5
black pepper,black,pepper,25
black white,black,white,85
blah blah,blah,blah,50
blog hop,blog,hop,53
blog post,blog,post,98
blog posts,blog,posts,39
blood pressure,blood,pressure,38
board member,board,member,6
board member,board,member,5
board members,board,members,6
book one,book,one,25
book read,book,read,29
book series,book,series,39
books read,books,read,31
bottom line,bottom,line,31
brand new,brand,new,92
breast cancer,breast,cancer,8
brewing company,brewing,company,36
bring back,bring,back,37
bring back,bring,back,5
bring boil,bring,boil,28
bring boil,bring,boil,5
brings us,brings,us,29
brought back,brought,back,37
brought home,brought,home,31
brought us,brought,us,25
brown said,brown,said,5
brown sugar,brown,sugar,33
c pp,c,pp,29
called “,called,“,31
came across,came,across,90
came along,came,along,29
came back,came,back,88
came home,came,home,79
can actually,can,actually,38
can add,can,add,34
can afford,can,afford,27
can also,can,also,170
can also,can,also,5
can always,can,always,50
can beat,can,beat,5
can become,can,become,38
can become,can,become,5
can believe,can,believe,28
can bring,can,bring,29
can bring,can,bring,8
can buy,can,buy,30
can call,can,call,29
can cause,can,cause,32
can change,can,change,41
can choose,can,choose,30
can come,can,come,50
can count,can,count,25
can create,can,create,39
can done,can,done,32
can easily,can,easily,68
can even,can,even,63
can expect,can,expect,41
can feel,can,feel,53
can find,can,find,156
can find,can,find,6
can find,can,find,5
can found,can,found,60
can get,can,get,302
can get,can,get,20
can get,can,get,18
can give,can,give,68
can go,can,go,109
can go,can,go,6
can go,can,go,5
can happen,can,happen,28
can hear,can,hear,28
can help,can,help,109
can help,can,help,14
can help,can,help,8
can imagine,can,imagine,111
can imagine,can,imagine,6
can just,can,just,78
can keep,can,keep,45
can lead,can,lead,26
can learn,can,learn,39
can look,can,look,45
can made,can,made,26
can make,can,make,219
can make,can,make,13
can make,can,make,12
can mean,can,mean,6
can never,can,never,70
can now,can,now,52
can play,can,play,32
can provide,can,provide,25
can put,can,put,32
can read,can,read,60
can really,can,really,56
can remember,can,remember,62
can save,can,save,28
can save,can,save,5
can say,can,say,151
can say,can,say,6
can see,can,see,406
can see,can,see,11
can see,can,see,9
can seen,can,seen,33
can start,can,start,36
can still,can,still,103
can take,can,take,113
can take,can,take,10
can tell,can,tell,141
can tell,can,tell,8
can think,can,think,61
can turn,can,turn,37
can understand,can,understand,32
can use,can,use,134
can use,can,use,5
can use,can,use,5
can used,can,used,52
can watch,can,watch,30
can work,can,work,46
can write,can,write,26
can’t even,can’t,even,31
can’t get,can’t,get,32
can’t help,can’t,help,34
can’t say,can’t,say,29
can’t see,can’t,see,25
can’t wait,can’t,wait,55
cancer center,cancer,center,5
cant afford,cant,afford,7
cant believe,cant,believe,62
cant even,cant,even,35
cant find,cant,find,32
cant get,cant,get,50
cant help,cant,help,39
cant help,cant,help,5
cant really,cant,really,27
cant remember,cant,remember,26
cant tell,cant,tell,30
cant tell,cant,tell,5
cant wait,cant,wait,117
catholic church,catholic,church,31
caught eye,caught,eye,36
cell phone,cell,phone,59
cell phone,cell,phone,10
cell phone,cell,phone,9
challenge blog,challenge,blog,31
chamber commerce,chamber,commerce,5
championship game,championship,game,5
chance see,chance,see,5
chance win,chance,win,34
charter schools,charter,schools,8
charter schools,charter,schools,6
check back,check,back,25
chicago illinois,chicago,illinois,35
chief executive,chief,executive,15
chief executive,chief,executive,11
chief financial,chief,financial,7
chief operating,chief,operating,7
chief staff,chief,staff,5
chocolate chip,chocolate,chip,26
chocolate chips,chocolate,chips,35
chris carpenter,chris,carpenter,6
chris christie,chris,christie,10
chris christie,chris,christie,7
christie said,christie,said,11
christie said,christie,said,9
city administrator,city,administrator,5
city council,city,council,16
city council,city,council,14
city hall,city,hall,5
city officials,city,officials,6
civil unions,civil,unions,5
civil war,civil,war,38
civil war,civil,war,5
class r,class,r,9
cleveland browns,cleveland,browns,6
cleveland ohio,cleveland,ohio,9
cleveland ohio,cleveland,ohio,8
click link,click,link,25
climate change,climate,change,27
